County Name,ST,SSA,FIPS,CBSA,CBSA Name,Old MSA,Old MSA Name
AUTAUGA,AL,01000,01001,33860,"Montgomery, AL",5240,"MONTGOMERY, AL"
BALDWIN,AL,01010,01003,01,Rural AL,5160,"MOBILE, AL"
BARBOUR,AL,01020,01005,01,Rural AL,01,ALABAMA
BIBB,AL,01030,01007,13820,"Birmingham-Hoover, AL",01,ALABAMA
BLOUNT,AL,01040,01009,13820,"Birmingham-Hoover, AL",1000,"BIRMINGHAM, AL"
BULLOCK,AL,01050,01011,01,Rural AL,01,ALABAMA
BUTLER,AL,01060,01013,01,Rural AL,01,ALABAMA
CALHOUN,AL,01070,01015,11500,"Anniston-Oxford, AL",0450,"ANNISTON,AL"
CHAMBERS,AL,01080,01017,01,Rural AL,01,ALABAMA
CHEROKEE,AL,01090,01019,01,Rural AL,01,ALABAMA
CHILTON,AL,01100,01021,13820,"Birmingham-Hoover, AL",01,ALABAMA
CHOCTAW,AL,01110,01023,01,Rural AL,01,ALABAMA
CLARKE,AL,01120,01025,01,Rural AL,01,ALABAMA
CLAY,AL,01130,01027,01,Rural AL,01,ALABAMA
CLEBURNE,AL,01140,01029,01,Rural AL,01,ALABAMA
COFFEE,AL,01150,01031,01,Rural AL,01,ALABAMA
COLBERT,AL,01160,01033,22520,"Florence-Muscle Shoals, AL",2650,"FLORENCE, AL"
CONECUH,AL,01170,01035,01,Rural AL,01,ALABAMA
COOSA,AL,01180,01037,01,Rural AL,01,ALABAMA
COVINGTON,AL,01190,01039,01,Rural AL,01,ALABAMA
CRENSHAW,AL,01200,01041,01,Rural AL,01,ALABAMA
CULLMAN,AL,01210,01043,01,Rural AL,01,ALABAMA
DALE,AL,01220,01045,01,Rural AL,2180,"DOTHAN, AL"
DALLAS,AL,01230,01047,01,Rural AL,01,ALABAMA
DE KALB,AL,01240,01049,01,Rural AL,01,ALABAMA
ELMORE,AL,01250,01051,33860,"Montgomery, AL",5240,"MONTGOMERY, AL"
ESCAMBIA,AL,01260,01053,01,Rural AL,01,ALABAMA
ETOWAH,AL,01270,01055,23460,"Gadsden, AL",2880,"GADSDEN, AL"
FAYETTE,AL,01280,01057,01,Rural AL,01,ALABAMA
FRANKLIN,AL,01290,01059,01,Rural AL,01,ALABAMA
GENEVA,AL,01300,01061,20020,"Dothan, AL",01,ALABAMA
GREENE,AL,01310,01063,46220,"Tuscaloosa, AL",01,ALABAMA
HALE,AL,01320,01065,46220,"Tuscaloosa, AL",01,ALABAMA
HENRY,AL,01330,01067,20020,"Dothan, AL",01,ALABAMA
HOUSTON,AL,01340,01069,20020,"Dothan, AL",2180,"DOTHAN, AL"
JACKSON,AL,01350,01071,01,Rural AL,01,ALABAMA
JEFFERSON,AL,01360,01073,13820,"Birmingham-Hoover, AL",1000,"BIRMINGHAM, AL"
LAMAR,AL,01370,01075,01,Rural AL,01,ALABAMA
LAUDERDALE,AL,01380,01077,22520,"Florence-Muscle Shoals, AL",2650,"FLORENCE, AL"
LAWRENCE,AL,01390,01079,19460,"Decatur, AL",2030,"DECATUR, AL"
LEE,AL,01400,01081,12220,"Auburn-Opelika, AL",0580,"AUBURN-OPELIKA, AL"
LIMESTONE,AL,01410,01083,26620,"Huntsville, AL",3440,"HUNTSVILLE, AL"
LOWNDES,AL,01420,01085,33860,"Montgomery, AL",01,ALABAMA
MACON,AL,01430,01087,01,Rural AL,01,ALABAMA
MADISON,AL,01440,01089,26620,"Huntsville, AL",3440,"HUNTSVILLE, AL"
MARENGO,AL,01450,01091,01,Rural AL,01,ALABAMA
MARION,AL,01460,01093,01,Rural AL,01,ALABAMA
MARSHALL,AL,01470,01095,01,Rural AL,01,ALABAMA
MOBILE,AL,01480,01097,33660,"Mobile, AL",5160,"MOBILE, AL"
MONROE,AL,01490,01099,01,Rural AL,01,ALABAMA
MONTGOMERY,AL,01500,01101,33860,"Montgomery, AL",5240,"MONTGOMERY, AL"
MORGAN,AL,01510,01103,19460,"Decatur, AL",2030,"DECATUR, AL"
PERRY,AL,01520,01105,01,Rural AL,01,ALABAMA
PICKENS,AL,01530,01107,01,Rural AL,01,ALABAMA
PIKE,AL,01540,01109,01,Rural AL,01,ALABAMA
RANDOLPH,AL,01550,01111,01,Rural AL,01,ALABAMA
RUSSELL,AL,01560,01113,17980,"Columbus, GA-AL",1800,"COLUMBUS, GA-AL"
