,Location,CBSA,yr,qtr,index,stdev
0,"Abilene, TX",10180,1975,1,-,-
1,"Abilene, TX",10180,1975,2,-,-
2,"Abilene, TX",10180,1975,3,-,-
3,"Abilene, TX",10180,1975,4,-,-
4,"Abilene, TX",10180,1976,1,-,-
5,"Abilene, TX",10180,1976,2,-,-
6,"Abilene, TX",10180,1976,3,-,-
7,"Abilene, TX",10180,1976,4,-,-
8,"Abilene, TX",10180,1977,1,-,-
9,"Abilene, TX",10180,1977,2,-,-
10,"Abilene, TX",10180,1977,3,-,-
11,"Abilene, TX",10180,1977,4,-,-
12,"Abilene, TX",10180,1978,1,-,-
13,"Abilene, TX",10180,1978,2,-,-
14,"Abilene, TX",10180,1978,3,-,-
15,"Abilene, TX",10180,1978,4,-,-
16,"Abilene, TX",10180,1979,1,-,-
17,"Abilene, TX",10180,1979,2,-,-
18,"Abilene, TX",10180,1979,3,-,-
19,"Abilene, TX",10180,1979,4,-,-
20,"Abilene, TX",10180,1980,1,-,-
21,"Abilene, TX",10180,1980,2,-,-
22,"Abilene, TX",10180,1980,3,-,-
23,"Abilene, TX",10180,1980,4,-,-
24,"Abilene, TX",10180,1981,1,-,-
25,"Abilene, TX",10180,1981,2,-,-
26,"Abilene, TX",10180,1981,3,-,-
27,"Abilene, TX",10180,1981,4,-,-
28,"Abilene, TX",10180,1982,1,-,-
29,"Abilene, TX",10180,1982,2,-,-
30,"Abilene, TX",10180,1982,3,-,-
31,"Abilene, TX",10180,1982,4,-,-
32,"Abilene, TX",10180,1983,1,-,-
33,"Abilene, TX",10180,1983,2,-,-
34,"Abilene, TX",10180,1983,3,-,-
35,"Abilene, TX",10180,1983,4,-,-
36,"Abilene, TX",10180,1984,1,-,-
37,"Abilene, TX",10180,1984,2,-,-
38,"Abilene, TX",10180,1984,3,-,-
39,"Abilene, TX",10180,1984,4,-,-
40,"Abilene, TX",10180,1985,1,-,-
41,"Abilene, TX",10180,1985,2,-,-
42,"Abilene, TX",10180,1985,3,-,-
43,"Abilene, TX",10180,1985,4,-,-
44,"Abilene, TX",10180,1986,1,-,-
45,"Abilene, TX",10180,1986,2,-,-
46,"Abilene, TX",10180,1986,3,107.38,-2.77
47,"Abilene, TX",10180,1986,4,94.93,-2.9
48,"Abilene, TX",10180,1987,1,100.88,-2.8
49,"Abilene, TX",10180,1987,2,100.74,-2.65
50,"Abilene, TX",10180,1987,3,93.99,-2.89
51,"Abilene, TX",10180,1987,4,91.38,-3.29
52,"Abilene, TX",10180,1988,1,81.63,-3.16
53,"Abilene, TX",10180,1988,2,88.61,-2.5
54,"Abilene, TX",10180,1988,3,82.59,-2.37
55,"Abilene, TX",10180,1988,4,84.31,-2.56
56,"Abilene, TX",10180,1989,1,87.45,-2.62
57,"Abilene, TX",10180,1989,2,80.25,-2.54
58,"Abilene, TX",10180,1989,3,84.74,-2.67
59,"Abilene, TX",10180,1989,4,75.43,-2.85
60,"Abilene, TX",10180,1990,1,80.29,-2.65
61,"Abilene, TX",10180,1990,2,79.91,-2.4
62,"Abilene, TX",10180,1990,3,79.83,-2.55
63,"Abilene, TX",10180,1990,4,81.68,-2.47
64,"Abilene, TX",10180,1991,1,83.27,-3.03
65,"Abilene, TX",10180,1991,2,87.11,-2.5
66,"Abilene, TX",10180,1991,3,87.65,-2.88
67,"Abilene, TX",10180,1991,4,83.49,-2.28
68,"Abilene, TX",10180,1992,1,92.72,-2.29
69,"Abilene, TX",10180,1992,2,90.18,-2.31
70,"Abilene, TX",10180,1992,3,90.71,-2.24
71,"Abilene, TX",10180,1992,4,92.01,-2.09
72,"Abilene, TX",10180,1993,1,93.09,-2.26
73,"Abilene, TX",10180,1993,2,97.39,-2.16
74,"Abilene, TX",10180,1993,3,96.54,-2.16
75,"Abilene, TX",10180,1993,4,98.83,-2.13
76,"Abilene, TX",10180,1994,1,97.88,-2.21
77,"Abilene, TX",10180,1994,2,100.01,-2.29
78,"Abilene, TX",10180,1994,3,98.92,-2.2
79,"Abilene, TX",10180,1994,4,96.69,-2.19
80,"Abilene, TX",10180,1995,1,100,0
81,"Abilene, TX",10180,1995,2,101.99,-2.48
82,"Abilene, TX",10180,1995,3,100.38,-2.21
83,"Abilene, TX",10180,1995,4,101.28,-2.54
84,"Abilene, TX",10180,1996,1,104.8,-2.23
85,"Abilene, TX",10180,1996,2,106.27,-2.3
86,"Abilene, TX",10180,1996,3,105.05,-2.28
87,"Abilene, TX",10180,1996,4,105.56,-2.65
