,default_wgt_sum,default_count,current_count
	ass,0.0,1.0,129314.0
    ,0.0,6.0,129309.0
   a,0.0,33.0,129282.0
   b,1.0,14.0,129301.0
   c,0.0,33.0,129282.0
   d,0.75,20.0,129295.0
   e,3.0,22.0,129293.0
   f,0.0,17.0,129298.0
   g,0.0,7.0,129308.0
   h,0.0,7.0,129308.0
   i,0.0,11.0,129304.0
   j,0.0,1.0,129314.0
   k,0.0,1.0,129314.0
   l,0.0,14.0,129301.0
   m,1.75,32.0,129283.0
   n,0.0,4.0,129311.0
   o,0.0,23.0,129292.0
   p,3.0,46.0,129269.0
   q,0.0,4.0,129311.0
   r,0.0,23.0,129292.0
   s,1.0,45.0,129270.0
   t,0.0,23.0,129292.0
   u,0.0,3.0,129312.0
   v,0.0,2.0,129313.0
   w,0.0,5.0,129310.0
   y,0.0,1.0,129314.0
  1$,0.0,1.0,129314.0
  1l,0.0,1.0,129314.0
  1s,0.0,1.0,129314.0
  1y,0.0,1.0,129314.0
  2 ,0.0,1.0,129314.0
  2$,0.0,2.0,129313.0
  20,1.0,1.0,129314.0
  3$,0.0,1.0,129314.0
  32,0.0,1.0,129314.0
  3r,0.0,1.0,129314.0
  5t,0.0,1.0,129314.0
  7 ,0.0,1.0,129314.0
  a ,0.0,2.0,129313.0
  ac,1.0,36.0,129279.0
  ad,0.0,34.0,129281.0
  ag,0.0,2.0,129313.0
  ai,0.0,5.0,129310.0
  al,0.23,2.0,129313.0
  am,0.0,5.0,129310.0
  an,0.0,30.0,129285.0
  ap,0.0,9.0,129306.0
  ar,0.0,11.0,129304.0
  as,1.0,23.0,129292.0
  at,0.0,8.0,129307.0
  au,0.0,6.0,129309.0
  av,0.0,3.0,129312.0
  ba,1.23,10.0,129305.0
  be,1.0,26.0,129289.0
  bi,0.0,14.0,129301.0
  bl,0.0,2.0,129313.0
  bo,0.0,7.0,129308.0
  br,0.0,10.0,129305.0
  bu,0.0,25.0,129290.0
  c ,0.0,1.0,129314.0
  ca,0.75,33.0,129282.0
  ce,2.0,12.0,129303.0
  cf,0.0,7.0,129308.0
  ch,0.0,8.0,129307.0
  ci,0.0,4.0,129311.0
  cl,1.0,21.0,129294.0
  cn,0.75,4.0,129311.0
  co,2.66,134.0,129181.0
  cr,0.0,6.0,129309.0
  cs,1.0,7.0,129308.0
  cu,0.23,22.0,129293.0
  cv,0.0,1.0,129314.0
  cw,0.0,1.0,129314.0
  d ,0.0,6.0,129309.0
  d$,0.0,1.0,129314.0
  da,0.0,9.0,129306.0
  dc,0.0,1.0,129314.0
  de,1.0,49.0,129266.0
  dh,0.0,1.0,129314.0
  di,0.0,26.0,129289.0
  do,0.0,2.0,129313.0
  dr,0.75,12.0,129303.0
  du,0.0,1.0,129314.0
  dy,0.0,1.0,129314.0
  e ,0.0,2.0,129313.0
  e6,1.23,5.0,129310.0
  e7,0.0,6.0,129309.0
  ec,0.0,1.0,129314.0
  ed,1.23,10.0,129305.0
  eh,0.0,1.0,129314.0
  el,0.75,10.0,129305.0
  em,1.0,7.0,129308.0
  en,0.75,22.0,129293.0
  eq,0.0,1.0,129314.0
  er,0.0,1.0,129314.0
  es,0.0,4.0,129311.0
  ev,0.0,9.0,129306.0
  ex,2.23,15.0,129300.0
  fa,0.0,16.0,129299.0
  fb,0.0,1.0,129314.0
  fe,0.0,3.0,129312.0
  fi,0.0,33.0,129282.0
  fl,0.0,9.0,129306.0
  fo,0.0,11.0,129304.0
  fr,0.0,4.0,129311.0
  fs,0.0,2.0,129313.0
  fu,0.0,5.0,129310.0
  ga,0.0,2.0,129313.0
  ge,0.0,10.0,129305.0
  gl,1.0,5.0,129310.0
  gm,0.0,2.0,129313.0
  gr,0.0,10.0,129305.0
  gu,0.0,3.0,129312.0
  ha,0.0,4.0,129311.0
  he,0.0,9.0,129306.0
  hi,0.0,3.0,129312.0
  ho,0.0,10.0,129305.0
  hr,0.0,18.0,129297.0
  hu,0.0,9.0,129306.0
  hv,0.0,2.0,129313.0
  hw,0.0,1.0,129314.0
  i ,0.0,4.0,129311.0
  ib,0.0,1.0,129314.0
  ic,0.0,2.0,129313.0
  ii,0.0,1.0,129314.0
  il,0.0,1.0,129314.0
  im,0.0,7.0,129308.0
  in,0.75,47.0,129268.0
  ir,0.0,1.0,129314.0
  is,0.0,2.0,129313.0
  it,0.0,15.0,129300.0
  iv,0.0,1.0,129314.0
  jo,0.0,3.0,129312.0
  ju,0.0,3.0,129312.0
  ki,0.0,1.0,129314.0
  la,0.0,12.0,129303.0
  le,1.0,24.0,129291.0
  li,0.0,10.0,129305.0
  lo,0.0,23.0,129292.0
  lp,0.0,1.0,129314.0
  ls,0.0,1.0,129314.0
  lt,0.0,1.0,129314.0
  lu,1.0,2.0,129313.0
  lv,0.0,1.0,129314.0
  ma,2.75,131.0,129184.0
  mc,0.0,1.0,129314.0
  md,0.0,1.0,129314.0
  me,2.41,25.0,129290.0
  mf,0.0,1.0,129314.0
  mg,0.0,4.0,129311.0
  mi,0.75,5.0,129310.0
  mo,0.0,7.0,129308.0
  mt,0.0,1.0,129314.0
  mu,0.0,5.0,129310.0
  na,0.0,3.0,129312.0
  nd,0.0,1.0,129314.0
  ne,0.0,11.0,129304.0
  ni,0.0,2.0,129313.0
  no,0.0,4.0,129311.0
  nu,0.0,10.0,129305.0
  o ,0.0,2.0,129313.0
  o$,0.0,1.0,129314.0
  o1,0.0,1.0,129314.0
  o3,0.0,1.0,129314.0
  o4,0.0,1.0,129314.0
  oc,0.0,1.0,129314.0
  of,1.0,19.0,129296.0
  ol,0.0,1.0,129314.0
  on,0.0,1.0,129314.0
  op,1.98,49.0,129266.0
  or,0.0,4.0,129311.0
  ou,0.0,5.0,129310.0
  ow,0.0,15.0,129300.0
  p ,0.0,1.0,129314.0
  pa,1.0,46.0,129269.0
  pc,0.0,1.0,129314.0
  pe,0.0,8.0,129307.0
  ph,1.75,16.0,129299.0
  pi,1.0,6.0,129309.0
  pl,0.75,8.0,129307.0
  pm,0.0,1.0,129314.0
  po,0.0,9.0,129306.0
  pr,2.75,78.0,129237.0
  ps,0.0,2.0,129313.0
  pt,0.0,1.0,129314.0
  pu,0.0,6.0,129309.0
  qc,0.0,2.0,129313.0
  qu,1.0,12.0,129303.0
  r ,0.0,2.0,129313.0
  ra,0.0,5.0,129310.0
  re,3.0,83.0,129232.0
  ri,0.0,4.0,129311.0
  rn,0.0,5.0,129310.0
  ro,0.0,7.0,129308.0
  rr,0.0,1.0,129314.0
  rt,0.0,1.0,129314.0
  s ,0.0,1.0,129314.0
  sa,3.25,67.0,129248.0
  sb,0.0,3.0,129312.0
  sc,0.0,8.0,129307.0
  se,2.0,50.0,129265.0
  sh,0.0,8.0,129307.0
  si,1.0,1.0,129314.0
  sm,0.0,2.0,129313.0
  so,0.0,11.0,129304.0
  sp,0.0,14.0,129301.0
  sq,0.0,1.0,129314.0
  sr,1.5,7.0,129308.0
  ss,0.0,3.0,129312.0
  st,0.0,19.0,129296.0
  su,0.0,32.0,129283.0
  sv,0.0,2.0,129313.0
  sw,1.0,1.0,129314.0
  sy,1.0,9.0,129306.0
  t ,0.0,2.0,129313.0
  t$,0.0,1.0,129314.0
  ta,0.0,7.0,129308.0
  te,1.75,54.0,129261.0
  th,1.0,3.0,129312.0
  ti,0.0,3.0,129312.0
  to,0.0,5.0,129310.0
  tp,0.0,1.0,129314.0
  tr,1.0,26.0,129289.0
  tu,0.0,1.0,129314.0
  tv,0.0,1.0,129314.0
  ug,0.0,1.0,129314.0
  um,0.0,1.0,129314.0
  un,0.0,5.0,129310.0
  us,0.0,3.0,129312.0
  ut,0.0,2.0,129313.0
  va,0.0,1.0,129314.0
  vi,0.0,3.0,129312.0
  vo,0.0,4.0,129311.0
  vp,0.0,2.0,129313.0
  vu,0.0,1.0,129314.0
  w2,0.0,1.0,129314.0
  wa,0.0,10.0,129305.0
  we,0.0,15.0,129300.0
  wh,0.0,1.0,129314.0
  wi,0.0,1.0,129314.0
  wo,0.0,3.0,129312.0
  xr,0.0,1.0,129314.0
  ya,0.0,2.0,129313.0
 07$,0.0,1.0,129314.0
 0pe,0.0,1.0,129314.0
 1  ,0.0,2.0,129313.0
 1 d,0.0,1.0,129314.0
 1 l,0.0,1.0,129314.0
 1 n,0.0,1.0,129314.0
