Name	Type	Nullable
AsOfDate	String	No
id	Integer	No
memberId	Integer	No
term	Integer	No
intRate	Number	No
expDefaultRate	Number	No
serviceFeeRate	Number	No
installment	Number	No
grade	String	No
subGrade	String	No
empLength	Integer	Yes
homeOwnership	String	Yes
annualInc	Number	Yes
isIncV	String	Yes
acceptD	String	No
expD	String	No
listD	String	No
creditPullD	String	No
reviewStatusD	String	Yes
reviewStatus	String	No
desc	String	Yes
purpose	String	No
addrZip	String	Yes
addrState	String	Yes
investorCount	Integer	Yes
ilsExpD	String	Yes
initialListStatus	String	No
empTitle	String	Yes
accNowDelinq	Integer	Yes
accOpenPast24Mths	Integer	Yes
bcOpenToBuy	Integer	Yes
percentBcGt75	Number	Yes
bcUtil	Number	Yes
dti	Number	Yes
delinq2Yrs	Integer	Yes
delinqAmnt	Number	Yes
earliestCrLine	String	Yes
ficoRangeLow	Integer	Yes
ficoRangeHigh	Integer	Yes
inqLast6Mths	Integer	Yes
mthsSinceLastDelinq	Integer	Yes
mthsSinceLastRecord	Integer	Yes
mthsSinceRecentInq	Integer	Yes
mthsSinceRecentRevolDelinq	Integer	Yes
mthsSinceRecentBc	Integer	Yes
mortAcc	Integer	Yes
openAcc	Integer	Yes
pubRec	Integer	Yes
totalBalExMort	Integer	Yes
revolBal	Number	Yes
revolUtil	Number	Yes
totalBcLimit	Integer	Yes
totalAcc	Integer	Yes
totalIlHighCreditLimit	Integer	Yes
numRevAccts	Integer	Yes
mthsSinceRecentBcDlq	Integer	Yes
pubRecBankruptcies	Integer	Yes
numAcctsEver120Ppd	Integer	Yes
chargeoffWithin12Mths	Integer	Yes
collections12MthsExMed	Integer	Yes
taxLiens	Integer	Yes
mthsSinceLastMajorDerog	Integer	Yes
numSats	Integer	Yes
numTlOpPast12m	Integer	Yes
moSinRcntTl	Integer	Yes
totHiCredLim	Integer	Yes
totCurBal	Integer	Yes
avgCurBal	Integer	Yes
numBcTl	Integer	Yes
numActvBcTl	Integer	Yes
numBcSats	Integer	Yes
pctTlNvrDlq	Integer	Yes
numTl90gDpd24m	Integer	Yes
numTl30dpd	Integer	Yes
numTl120dpd2m	Integer	Yes
numIlTl	Integer	Yes
moSinOldIlAcct	Integer	Yes
numActvRevTl	Integer	Yes
moSinOldRevTlOp	Integer	Yes
moSinRcntRevTlOp	Integer	Yes
totalRevHiLim	Integer	Yes
numRevTlBalGt0	Integer	Yes
numOpRevTl	Integer	Yes
totCollAmt	Integer	Yes
fundedAmount	Number	No
loanAmount	Number	No
applicationType	String	Yes
annualIncJoint	Number	Yes
dtiJoint	Number	Yes
isIncVJoint	String	Yes
openAcc6m	Integer	Yes
openIl6m	Integer	Yes
openIl12m	Integer	Yes
openIl24m	Integer	Yes
mthsSinceRcntIl	Integer	Yes
totalBalIl	Number	Yes
iLUtil	Number	Yes
openRv12m	Integer	Yes
openRv24m	Integer	Yes
maxBalBc	Number	Yes
allUtil	Number	Yes
inqFi	Integer	Yes
totalCuTl	Integer	Yes
inqLast12m	Integer	Yes
mtgPayment1	Number	Yes
housingPayment1	Number	Yes
revolBalJoint2	Number	Yes
secAppFicoRangeLow2	Integer	Yes
secAppFicoRangeHigh2	Integer	Yes
secAppEarliestCrLine2	String	Yes
secAppInqLast6Mths2	Integer	Yes
secAppMortAcc2	Integer	Yes
secAppOpenAcc2	Integer	Yes
secAppRevolUtil2	Number	Yes
secAppOpenIl6m2	Integer	Yes
secAppNumRevAccts2	Integer	Yes
secAppChargeoffWithin12Mths2	Integer	Yes
secAppCollections12MthsExMed2	Integer	Yes
secAppMthsSinceLastMajorDerog2	Integer	Yes
