acc_now_delinq,accNowDelinq
acc_open_past_24mths,accOpenPast24Mths
addr_state,addrState
all_util,allUtil
annual_inc,annualInc
annual_inc_joint,annualIncJoint
application_type,applicationType
avg_cur_bal,avgCurBal
bc_open_to_buy,bcOpenToBuy
bc_util,bcUtil
chargeoff_within_12_mths,chargeoffWithin12Mths
collections_12_mths_ex_med,collections12MthsExMed
delinq_2yrs,delinq2Yrs
delinq_amnt,delinqAmnt
desc,desc
dti,dti
dti_joint,dtiJoint
earliest_cr_line,earliestCrLine
emp_length,empLength
emp_title,empTitle
fico_range_high,ficoRangeHigh
fico_range_low,ficoRangeLow
funded_amnt,fundedAmount
grade,grade
home_ownership,homeOwnership
id,id
il_util,iLUtil
initial_list_status,initialListStatus
inq_fi,inqFi
inq_last_12m,inqLast12m
inq_last_6mths,inqLast6Mths
installment,installment
int_rate,intRate
loan_amnt,loanAmount
max_bal_bc,maxBalBc
member_id,memberId
mo_sin_old_il_acct,moSinOldIlAcct
mo_sin_old_rev_tl_op,moSinOldRevTlOp
mo_sin_rcnt_rev_tl_op,moSinRcntRevTlOp
mo_sin_rcnt_tl,moSinRcntTl
mort_acc,mortAcc
mths_since_last_delinq,mthsSinceLastDelinq
mths_since_last_major_derog,mthsSinceLastMajorDerog
mths_since_last_record,mthsSinceLastRecord
mths_since_rcnt_il,mthsSinceRcntIl
mths_since_recent_bc,mthsSinceRecentBc
mths_since_recent_bc_dlq,mthsSinceRecentBcDlq
mths_since_recent_inq,mthsSinceRecentInq
mths_since_recent_revol_delinq,mthsSinceRecentRevolDelinq
num_accts_ever_120_pd,numAcctsEver120Ppd
num_actv_bc_tl,numActvBcTl
num_actv_rev_tl,numActvRevTl
num_bc_sats,numBcSats
num_bc_tl,numBcTl
num_il_tl,numIlTl
num_op_rev_tl,numOpRevTl
num_rev_accts,numRevAccts
num_rev_tl_bal_gt_0,numRevTlBalGt0
num_sats,numSats
num_tl_120dpd_2m,numTl120dpd2m
num_tl_30dpd,numTl30dpd
num_tl_90g_dpd_24m,numTl90gDpd24m
num_tl_op_past_12m,numTlOpPast12m
open_acc,openAcc
open_acc_6m,openAcc6m
open_il_12m,openIl12m
open_il_24m,openIl24m
open_il_6m,openIl6m
open_acc_il,openIl6m
open_rv_12m,openRv12m
open_rv_24m,openRv24m
pct_tl_nvr_dlq,pctTlNvrDlq
percent_bc_gt_75,percentBcGt75
pub_rec,pubRec
pub_rec_bankruptcies,pubRecBankruptcies
purpose,purpose
revol_bal,revolBal
revol_util,revolUtil
sub_grade,subGrade
tax_liens,taxLiens
term,term
tot_coll_amt,totCollAmt
tot_cur_bal,totCurBal
tot_hi_cred_lim,totHiCredLim
total_acc,totalAcc
total_bal_ex_mort,totalBalExMort
total_bal_il,totalBalIl
total_bc_limit,totalBcLimit
total_cu_tl,totalCuTl
total_il_high_credit_limit,totalIlHighCreditLimit
total_rev_hi_lim,totalRevHiLim
verification_status,isIncV
zip_code,addrZip
