,ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
0,501.0,35004.0,0.0,1.0,0.0,1.0
1,601.0,10260.0,1.0,1.0,1.0,1.0
2,602.0,10380.0,1.0,1.0,1.0,1.0
3,603.0,10380.0,1.0,1.0,1.0,1.0
4,605.0,10380.0,0.0,0.0,1.0,1.0
5,606.0,99999.0,1.0,1.0,1.0,1.0
6,610.0,10380.0,1.0,1.0,1.0,1.0
7,611.0,10380.0,0.0,0.0,1.0,1.0
8,612.0,10380.0,0.0009688639999999999,0.000414594,0.004166667,0.0009766010000000001
9,612.0,11640.0,0.9990311359999999,0.9995854059999999,0.995833333,0.999023399
10,616.0,11640.0,1.0,1.0,1.0,1.0
11,617.0,41980.0,1.0,1.0,1.0,1.0
12,622.0,41900.0,1.0,1.0,1.0,1.0
13,623.0,32420.0,0.000942302,0.0,0.0,0.000881117
14,623.0,41900.0,0.999057698,1.0,1.0,0.999118883
15,624.0,38660.0,1.0,1.0,1.0,1.0
16,627.0,11640.0,1.0,1.0,1.0,1.0
17,631.0,10380.0,0.0,0.0,1.0,1.0
18,637.0,41900.0,1.0,1.0,1.0,1.0
19,638.0,41980.0,1.0,1.0,1.0,1.0
20,641.0,10380.0,1.0,1.0,1.0,1.0
21,646.0,41980.0,1.0,1.0,1.0,1.0
22,647.0,38660.0,1.0,1.0,1.0,1.0
23,650.0,41980.0,1.0,1.0,1.0,1.0
24,652.0,11640.0,1.0,1.0,1.0,1.0
25,653.0,38660.0,1.0,1.0,1.0,1.0
26,656.0,38660.0,1.0,1.0,1.0,1.0
27,659.0,11640.0,1.0,1.0,1.0,1.0
28,660.0,32420.0,1.0,1.0,1.0,1.0
29,662.0,10380.0,1.0,1.0,1.0,1.0
30,664.0,27580.0,1.0,1.0,1.0,1.0
31,667.0,41900.0,1.0,1.0,1.0,1.0
32,669.0,10380.0,1.0,1.0,1.0,1.0
33,670.0,99999.0,1.0,1.0,1.0,1.0
34,674.0,41980.0,1.0,1.0,1.0,1.0
35,676.0,10380.0,1.0,1.0,1.0,1.0
36,677.0,10380.0,1.0,1.0,1.0,1.0
37,678.0,11640.0,1.0,1.0,1.0,1.0
38,680.0,10380.0,0.010657106000000001,0.00077101,0.0,0.009206323
39,680.0,32420.0,0.9893428940000001,0.99922899,1.0,0.990793677
40,681.0,32420.0,0.0,0.0,1.0,1.0
41,682.0,32420.0,1.0,1.0,1.0,1.0
42,683.0,32420.0,0.013844173000000001,0.0,0.0,0.012605042
43,683.0,41900.0,0.986155827,1.0,1.0,0.987394958
44,685.0,10380.0,1.0,1.0,1.0,1.0
45,687.0,41980.0,1.0,1.0,1.0,1.0
46,688.0,11640.0,1.0,1.0,1.0,1.0
47,690.0,10380.0,1.0,1.0,1.0,1.0
48,692.0,41980.0,1.0,1.0,1.0,1.0
49,693.0,41980.0,1.0,1.0,1.0,1.0
50,698.0,38660.0,1.0,1.0,1.0,1.0
51,703.0,41980.0,1.0,1.0,1.0,1.0
52,704.0,17640.0,1.0,1.0,1.0,1.0
53,705.0,41980.0,1.0,1.0,1.0,1.0
54,707.0,41980.0,1.0,1.0,1.0,1.0
55,714.0,25020.0,1.0,1.0,1.0,1.0
56,715.0,38660.0,1.0,1.0,1.0,1.0
57,716.0,38660.0,1.0,1.0,1.0,1.0
58,717.0,38660.0,1.0,1.0,1.0,1.0
59,718.0,41980.0,1.0,1.0,1.0,1.0
60,719.0,41980.0,1.0,1.0,1.0,1.0
61,720.0,38660.0,0.007500852,0.0,0.0,0.0068322980000000005
62,720.0,41980.0,0.9924991479999999,1.0,1.0,0.993167702
63,721.0,41980.0,0.0,0.0,1.0,1.0
64,723.0,25020.0,1.0,1.0,1.0,1.0
65,725.0,41980.0,1.0,1.0,1.0,1.0
66,727.0,41980.0,1.0,1.0,1.0,1.0
67,728.0,38660.0,1.0,1.0,1.0,1.0
68,729.0,41980.0,1.0,1.0,1.0,1.0
69,730.0,38660.0,1.0,1.0,1.0,1.0
70,731.0,38660.0,1.0,1.0,1.0,1.0
71,735.0,41980.0,1.0,1.0,1.0,1.0
72,736.0,41980.0,1.0,1.0,1.0,1.0
73,738.0,41980.0,1.0,1.0,1.0,1.0
74,739.0,41980.0,1.0,1.0,1.0,1.0
75,740.0,41980.0,1.0,1.0,1.0,1.0
76,741.0,41980.0,1.0,1.0,1.0,1.0
77,742.0,41980.0,0.0,0.0,1.0,1.0
78,744.0,41980.0,0.0,0.0,1.0,1.0
79,745.0,41980.0,1.0,1.0,1.0,1.0
80,751.0,17640.0,1.0,1.0,1.0,1.0
81,754.0,41980.0,1.0,1.0,1.0,1.0
82,757.0,42180.0,1.0,1.0,1.0,1.0
83,765.0,99999.0,1.0,1.0,1.0,1.0
84,766.0,38660.0,1.0,1.0,1.0,1.0
85,767.0,41980.0,1.0,1.0,1.0,1.0
86,769.0,17620.0,1.0,1.0,1.0,1.0
87,771.0,41980.0,1.0,1.0,1.0,1.0
88,772.0,41980.0,1.0,1.0,1.0,1.0
89,773.0,41980.0,1.0,1.0,1.0,1.0
90,775.0,99999.0,0.0,0.0,1.0,1.0
91,777.0,41980.0,1.0,1.0,1.0,1.0
92,778.0,41980.0,1.0,1.0,1.0,1.0
93,780.0,38660.0,1.0,1.0,1.0,1.0
94,782.0,41980.0,1.0,1.0,1.0,1.0
95,783.0,41980.0,1.0,1.0,1.0,1.0
96,784.0,25020.0,1.0,1.0,1.0,1.0
97,786.0,41980.0,0.0,0.0,1.0,1.0
