ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35004,0,1,0,1
00601,10260,1,1,1,1
00602,10380,1,1,1,1
00603,10380,1,1,1,1
00605,10380,0,0,1,1
00606,99999,1,1,1,1
00610,10380,1,1,1,1
00611,10380,0,0,1,1
00612,10380,0.000968864,0.000414594,0.004166667,0.000976601
00612,11640,0.999031136,0.999585406,0.995833333,0.999023399
00616,11640,1,1,1,1
00617,41980,1,1,1,1
00622,41900,1,1,1,1
00623,32420,0.000942302,0,0,0.000881117
00623,41900,0.999057698,1,1,0.999118883
00624,38660,1,1,1,1
00627,11640,1,1,1,1
00631,10380,0,0,1,1
00637,41900,1,1,1,1
00638,41980,1,1,1,1
00641,10380,1,1,1,1
00646,41980,1,1,1,1
00647,38660,1,1,1,1
00650,41980,1,1,1,1
00652,11640,1,1,1,1
00653,38660,1,1,1,1
00656,38660,1,1,1,1
00659,11640,1,1,1,1
00660,32420,1,1,1,1
00662,10380,1,1,1,1
00664,27580,1,1,1,1
00667,41900,1,1,1,1
00669,10380,1,1,1,1
00670,99999,1,1,1,1
00674,41980,1,1,1,1
00676,10380,1,1,1,1
00677,10380,1,1,1,1
00678,11640,1,1,1,1
00680,10380,0.010657106,0.00077101,0,0.009206323
00680,32420,0.989342894,0.99922899,1,0.990793677
00681,32420,0,0,1,1
00682,32420,1,1,1,1
00683,32420,0.013844173,0,0,0.012605042
00683,41900,0.986155827,1,1,0.987394958
00685,10380,1,1,1,1
00687,41980,1,1,1,1
00688,11640,1,1,1,1
00690,10380,1,1,1,1
00692,41980,1,1,1,1
00693,41980,1,1,1,1
00698,38660,1,1,1,1
00703,41980,1,1,1,1
00704,17640,1,1,1,1
00705,41980,1,1,1,1
00707,41980,1,1,1,1
00714,25020,1,1,1,1
00715,38660,1,1,1,1
00716,38660,1,1,1,1
00717,38660,1,1,1,1
00718,41980,1,1,1,1
00719,41980,1,1,1,1
00720,38660,0.007500852,0,0,0.006832298
00720,41980,0.992499148,1,1,0.993167702
00721,41980,0,0,1,1
00723,25020,1,1,1,1
00725,41980,1,1,1,1
00727,41980,1,1,1,1
00728,38660,1,1,1,1
00729,41980,1,1,1,1
00730,38660,1,1,1,1
00731,38660,1,1,1,1
00735,41980,1,1,1,1
00736,41980,1,1,1,1
00738,41980,1,1,1,1
00739,41980,1,1,1,1
00740,41980,1,1,1,1
00741,41980,1,1,1,1
00742,41980,0,0,1,1
00744,41980,0,0,1,1
00745,41980,1,1,1,1
00751,17640,1,1,1,1
00754,41980,1,1,1,1
00757,42180,1,1,1,1
00765,99999,1,1,1,1
00766,38660,1,1,1,1
00767,41980,1,1,1,1
00769,17620,1,1,1,1
00771,41980,1,1,1,1
00772,41980,1,1,1,1
00773,41980,1,1,1,1
00775,99999,0,0,1,1
00777,41980,1,1,1,1
00778,41980,1,1,1,1
00780,38660,1,1,1,1
00782,41980,1,1,1,1
00783,41980,1,1,1,1
00784,25020,1,1,1,1
00786,41980,0,0,1,1
00791,41980,1,1,1,1
00794,41980,1,1,1,1
00795,38660,1,1,1,1
00802,99999,1,1,1,1
00820,99999,1,1,1,1
00830,99999,1,1,1,1
00840,99999,1,1,1,1
00850,99999,1,1,1,1
00901,41980,1,1,1,1
00907,41980,1,1,1,1
00909,41980,1,1,1,1
00911,41980,1,1,1,1
00912,41980,1,1,1,1
00913,41980,1,1,1,1
00915,41980,1,1,1,1
00917,41980,1,1,1,1
00918,41980,1,1,1,1
00920,41980,1,1,1,1
00921,41980,1,1,1,1
00923,41980,1,1,1,1
00924,41980,1,1,1,1
00925,41980,1,1,1,1
00926,41980,1,1,1,1
00927,41980,1,1,1,1
00934,41980,1,1,1,1
00935,41980,0,1,0,1
00936,41980,0,0,1,1
00940,41980,0,0,1,1
00949,41980,1,1,1,1
00952,41980,1,1,1,1
00953,41980,1,1,1,1
00956,41980,1,1,1,1
00957,41980,1,1,1,1
00959,41980,1,1,1,1
00961,41980,1,1,1,1
00962,41980,1,1,1,1
00965,41980,1,1,1,1
00966,41980,1,1,1,1
00968,41980,1,1,1,1
00969,41980,1,1,1,1
00971,41980,1,1,1,1
00975,41980,0,1,1,1
00976,41980,1,1,1,1
00979,41980,1,1,1,1
00982,41980,1,1,1,1
00983,41980,1,1,1,1
00985,41980,1,1,1,1
00987,41980,1,1,1,1
01001,44140,1,1,1,1
01002,24640,0.011091549,0.001135074,0.003766478,0.010100219
01002,44140,0.988908451,0.998864926,0.996233522,0.989899781
01003,44140,1,1,1,1
01004,44140,1,1,1,1
01005,49340,1,1,1,1
01007,44140,1,1,1,1
01008,38340,0.035123967,0.05,0,0.035363458
01008,44140,0.964876033,0.95,1,0.964636542
01009,44140,0,1,0,1
01010,44140,0.982222222,1,0,0.982651797
01010,49340,0.017777778,0,0,0.017348203
01011,38340,0.00814664,0.025,0,0.009310987
01011,44140,0.99185336,0.975,1,0.990689013
01012,44140,1,1,1,1
01013,44140,1,1,1,1
01014,44140,1,1,1,1
01020,44140,1,1,1,1
01021,44140,1,1,1,1
01022,44140,1,1,1,1
01026,38340,0.039927405,0.04,0,0.039182283
01026,44140,0.960072595,0.96,1,0.960817717
01027,44140,1,1,1,1
01028,44140,1,1,1,1
01029,38340,1,0,1,1
01030,44140,1,1,1,1
01031,49340,1,1,1,1
01032,44140,1,0,1,1
01033,44140,1,1,1,1
01034,44140,1,1,1,1
01035,44140,1,1,1,1
01036,44140,1,1,1,1
01037,49340,1,1,0,1
01038,44140,1,1,1,1
01039,24640,0.188361409,0,0.25,0.185185185
01039,44140,0.811638591,1,0.75,0.814814815
01040,44140,1,1,1,1
01041,44140,1,1,1,1
01050,44140,1,1,1,1
01053,44140,1,1,1,1
01054,24640,1,1,1,1
01056,44140,1,1,1,1
01057,44140,1,1,1,1
01059,44140,0,1,0,1
01060,44140,1,1,1,1
01061,44140,1,1,1,1
01062,44140,1,1,1,1
01063,44140,0,1,1,1
01066,44140,1,1,0,1
01068,49340,1,1,1,1
01069,44140,1,1,1,1
01070,24640,0.007246377,0,0,0.007168459
01070,44140,0.992753623,1,1,0.992831541
01071,44140,1,1,1,1
01072,24640,1,1,1,1
01073,44140,1,1,1,1
01074,49340,0,1,0,1
01075,44140,1,1,1,1
01077,44140,1,1,1,1
01079,44140,1,1,0,1
01080,44140,1,1,1,1
01081,44140,1,1,1,1
01082,44140,0.933320181,0.789617486,0.946502058,0.924621346
01082,49340,0.066679819,0.210382514,0.053497942,0.075378654
01083,49340,0,0,1,1
01084,44140,1,0,1,1
01085,44140,1,1,1,1
01088,44140,1,1,1,1
01089,44140,1,1,1,1
01090,44140,1,1,1,1
01092,49340,0,0,1,1
01093,24640,1,0,1,1
01094,49340,0,1,1,1
01095,44140,1,1,1,1
01096,24640,0.104651163,0.0625,0,0.103412616
01096,44140,0.895348837,0.9375,1,0.896587384
01098,38340,0.001988072,0,0,0.001945525
01098,44140,0.998011928,1,1,0.998054475
01101,44140,1,1,1,1
01103,44140,1,1,1,1
01104,44140,1,1,1,1
01105,44140,1,1,1,1
01106,44140,1,1,1,1
01107,44140,1,1,1,1
01108,44140,1,1,1,1
01109,44140,1,1,1,1
01111,44140,0,1,0,1
01115,44140,0,1,1,1
01116,44140,1,1,1,1
01118,44140,1,1,1,1
01119,44140,1,1,1,1
01128,44140,1,1,1,1
01129,44140,1,1,1,1
01138,44140,1,1,1,1
01139,44140,1,1,1,1
01144,44140,0,1,1,1
01151,44140,1,1,1,1
01152,44140,0,1,1,1
01199,44140,0,1,0,1
01201,38340,1,1,1,1
01202,38340,1,1,1,1
01203,38340,0,0,1,1
01220,38340,1,1,1,1
01222,38340,1,1,1,1
01223,38340,0.998482549,1,1,0.998518519
01223,44140,0.001517451,0,0,0.001481481
01224,38340,1,0,1,1
01225,38340,1,1,1,1
01226,38340,1,1,1,1
01227,38340,1,1,1,1
01229,38340,0,1,0,1
01230,38340,1,1,1,1
01235,38340,0.961926092,0.972972973,1,0.963196635
01235,44140,0.038073908,0.027027027,0,0.036803365
01236,38340,1,1,1,1
01237,38340,1,1,1,1
01238,38340,1,1,1,1
01240,38340,1,1,1,1
01242,38340,0,0,1,1
01243,44140,0,1,0,1
01244,38340,0,1,0,1
01245,38340,1,1,0,1
01247,24640,0.00021732,0,0,0.000188005
01247,38340,0.99978268,1,1,0.999811995
01252,38340,0,0,1,1
01253,38340,1,1,1,1
01254,38340,1,1,1,1
01255,38340,1,1,0,1
01256,38340,1,1,1,1
01257,38340,1,1,1,1
01258,38340,1,1,1,1
01259,38340,1,1,1,1
01260,38340,1,0,1,1
01262,38340,1,1,1,1
01263,38340,0,1,0,1
01264,38340,1,0,1,1
01266,38340,1,1,1,1
01267,38340,1,1,1,1
01270,38340,1,1,1,1
01301,24640,1,1,1,1
01302,24640,1,1,1,1
01330,24640,0.97856049,1,1,0.97979798
01330,44140,0.02143951,0,0,0.02020202
01331,24640,0.000995851,0.002570694,0,0.001060445
01331,49340,0.999004149,0.997429306,1,0.998939555
01337,24640,1,1,1,1
01338,24640,1,1,1,1
01339,24640,1,1,1,1
01340,24640,1,1,1,1
01341,24640,1,1,1,1
01342,24640,1,1,1,1
01343,38340,1,1,1,1
01344,24640,1,1,1,1
01346,24640,1,0,1,1
01347,24640,1,0,1,1
01349,24640,1,1,1,1
01350,24640,0,0,1,1
01351,24640,1,1,1,1
01354,24640,1,1,1,1
01355,24640,1,1,1,1
01360,24640,1,1,1,1
01364,24640,0.999172185,0.997319035,1,0.99903218
01364,49340,0.000827815,0.002680965,0,0.00096782
01366,49340,1,1,1,1
01367,24640,0.933753943,0.944444444,1,0.935103245
01367,38340,0.066246057,0.055555556,0,0.064896755
01368,49340,1,1,1,1
01370,24640,1,1,1,1
01373,24640,1,1,1,1
01375,24640,1,1,1,1
01376,24640,1,1,1,1
01378,24640,1,1,1,1
01379,24640,1,0,1,1
01380,24640,1,0,1,1
01420,49340,1,1,1,1
01430,49340,1,1,1,1
01431,15764,1,1,1,1
01432,15764,1,1,1,1
01434,15764,0.342391304,0.116197183,0.351351351,0.215841584
01434,49340,0.657608696,0.883802817,0.648648649,0.784158416
01436,49340,1,1,1,1
01438,49340,0,0,1,1
01440,49340,1,1,1,1
01441,49340,0,0,1,1
01450,15764,1,1,1,1
01451,49340,1,1,1,1
01452,49340,1,1,1,1
01453,49340,1,1,1,1
01460,15764,1,1,1,1
01462,15764,0.001403649,0,0,0.001305727
01462,49340,0.998596351,1,1,0.998694273
01463,15764,1,1,1,1
01464,15764,1,1,1,1
01467,49340,0,0,1,1
01468,49340,1,1,1,1
01469,15764,1,1,1,1
01472,15764,0,0,1,1
01473,49340,1,1,1,1
01474,15764,1,1,1,1
01475,49340,1,1,1,1
01501,49340,1,1,1,1
01503,49340,1,1,1,1
01504,14454,0.001623816,0,0.007633588,0.00176278
01504,49340,0.998376184,1,0.992366412,0.99823722
01505,49340,1,1,1,1
01506,49340,1,1,1,1
01507,49340,1,1,1,1
01508,49340,0,0,1,1
01510,49340,1,1,1,1
01515,49340,1,1,1,1
01516,49340,1,1,1,1
01518,49340,1,1,1,1
01519,49340,1,1,1,1
01520,49340,1,1,1,1
01521,44140,1,1,1,1
01522,49340,1,1,1,1
01523,49340,1,1,1,1
01524,49340,1,1,1,1
01525,49340,0,0,1,1
01526,49340,0,0,1,1
01527,49340,1,1,1,1
01529,49340,1,1,1,1
01531,49340,1,1,1,1
01532,15764,0.00261217,0.001077586,0,0.002359109
01532,49340,0.99738783,0.998922414,1,0.997640891
01534,49340,1,1,1,1
01535,49340,1,1,1,1
01536,49340,1,1,1,1
01537,49340,1,1,1,1
01538,49340,0,0,1,1
01540,49340,1,1,1,1
01541,49340,1,1,1,1
01542,49340,1,1,1,1
01543,49340,1,1,1,1
01545,49340,1,1,1,1
01546,49340,0,1,1,1
01550,49340,1,1,1,1
01560,49340,1,1,1,1
01561,49340,0,0,1,1
01562,49340,1,1,1,1
01564,49340,1,1,1,1
01566,49340,1,1,1,1
01568,49340,1,1,1,1
01569,49340,1,1,1,1
01570,49340,1,1,1,1
01571,49340,1,1,1,1
01581,49340,1,1,1,1
01583,49340,1,1,1,1
01585,49340,1,1,1,1
01586,49340,1,1,1,1
01588,49340,1,1,1,1
01590,49340,1,1,1,1
01601,49340,1,1,1,1
01602,49340,1,1,1,1
01603,49340,1,1,1,1
01604,49340,1,1,1,1
01605,49340,1,1,1,1
01606,49340,1,1,1,1
01607,49340,1,1,1,1
01608,49340,1,1,1,1
01609,49340,1,1,1,1
01610,49340,1,1,1,1
01611,49340,1,1,1,1
01612,49340,1,1,1,1
01613,49340,1,1,1,1
01614,49340,0,0,1,1
01653,49340,0,1,0,1
01655,49340,0,1,1,1
01701,15764,1,1,1,1
01702,15764,1,1,1,1
01703,15764,1,1,1,1
01704,15764,1,1,1,1
01718,15764,1,1,1,1
01719,15764,1,1,1,1
01720,15764,1,1,1,1
01721,15764,1,1,1,1
01730,15764,1,1,1,1
01731,15764,1,1,1,1
01740,49340,1,1,1,1
01741,15764,1,1,1,1
01742,15764,1,1,1,1
01745,49340,1,1,1,1
01746,15764,1,1,1,1
01747,49340,1,1,1,1
01748,15764,1,1,1,1
01749,15764,0.998638838,0.998922414,1,0.998709165
01749,49340,0.001361162,0.001077586,0,0.001290835
01752,15764,1,1,1,1
01754,15764,1,1,1,1
01756,49340,1,1,1,1
01757,49340,1,1,1,1
01760,15764,1,1,1,1
01770,15764,1,1,1,1
01772,49340,1,1,1,1
01773,15764,1,1,1,1
01775,15764,1,1,1,1
01776,15764,1,1,1,1
01778,15764,1,1,1,1
01784,15764,0,0,1,1
01801,15764,1,1,1,1
01803,15764,1,1,1,1
01805,15764,0,0,1,1
01810,15764,1,1,1,1
01812,15764,0,0,1,1
01821,15764,1,1,1,1
01822,15764,1,1,1,1
01824,15764,1,1,1,1
01826,15764,1,1,1,1
01827,15764,1,1,1,1
01830,15764,1,1,1,1
01831,15764,1,1,1,1
01832,15764,1,1,1,1
01833,15764,1,1,1,1
01834,15764,1,1,1,1
01835,15764,1,1,1,1
01840,15764,1,1,1,1
01841,15764,1,1,1,1
01842,15764,1,1,1,1
01843,15764,1,1,1,1
01844,15764,1,1,1,1
01845,15764,1,1,1,1
01850,15764,1,1,1,1
01851,15764,1,1,1,1
01852,15764,1,1,1,1
01853,15764,1,1,1,1
01854,15764,1,1,1,1
01860,15764,1,1,1,1
01862,15764,1,1,1,1
01863,15764,1,1,1,1
01864,15764,1,1,1,1
01865,15764,1,1,1,1
01866,15764,0,0,1,1
01867,15764,1,1,1,1
01876,15764,1,1,1,1
01879,15764,1,1,1,1
01880,15764,1,1,1,1
01885,15764,0,0,1,1
01886,15764,1,1,1,1
01887,15764,1,1,1,1
01888,15764,1,1,1,1
01889,15764,0,0,1,1
01890,15764,1,1,1,1
01899,15764,0,0,1,1
01901,15764,1,1,1,1
01902,15764,1,1,1,1
01903,15764,1,1,1,1
01904,15764,1,1,1,1
01905,15764,1,1,1,1
01906,14454,8.98634E-05,0,0,7.97957E-05
01906,15764,0.999910137,1,1,0.999920204
01907,15764,1,1,1,1
01908,15764,1,1,1,1
01910,15764,0,0,1,1
01913,15764,1,1,1,1
01915,15764,1,1,1,1
01921,15764,1,1,1,1
01922,15764,1,1,1,1
01923,15764,1,1,1,1
01929,15764,1,1,1,1
01930,15764,1,1,1,1
01936,15764,1,1,1,1
01937,15764,0,0,1,1
01938,15764,1,1,1,1
01940,15764,1,1,1,1
01944,15764,1,1,1,1
01945,15764,1,1,1,1
01949,15764,1,1,1,1
01950,15764,1,1,1,1
01951,15764,1,1,1,1
01952,15764,1,1,1,1
01960,15764,1,1,1,1
01961,15764,1,1,1,1
01965,15764,1,1,1,1
01966,15764,1,1,1,1
01969,15764,1,1,1,1
01970,15764,1,1,1,1
01982,15764,1,1,1,1
01983,15764,1,1,1,1
01984,15764,1,1,1,1
01985,15764,1,1,1,1
02018,14454,1,1,1,1
02019,14454,1,1,1,1
02020,14454,1,0,0,1
02021,14454,1,1,1,1
02025,14454,1,1,1,1
02026,14454,1,1,1,1
02027,14454,1,1,1,1
02030,14454,0.998796631,1,1,0.998887653
02030,15764,0.001203369,0,0,0.001112347
02032,14454,1,1,1,1
02035,14454,1,1,1,1
02038,14454,1,1,1,1
02041,14454,0,0,1,1
02043,14454,1,1,1,1
02044,14454,0,0,1,1
02045,14454,1,1,1,1
02047,14454,1,1,1,1
02048,39300,1,1,1,1
02050,14454,1,1,1,1
02051,14454,1,0,1,1
02052,14454,1,1,1,1
02053,14454,1,1,1,1
02054,14454,0.990424895,1,1,0.991376987
02054,15764,0.009575105,0,0,0.008623013
02056,14454,1,1,1,1
02059,14454,0,0,1,1
02060,14454,1,1,1,1
02061,14454,1,1,1,1
02062,14454,1,1,1,1
02065,14454,0,0,1,1
02066,14454,1,1,1,1
02067,14454,1,1,1,1
02070,14454,0,0,1,1
02071,14454,1,1,1,1
02072,14454,1,1,1,1
02081,14454,1,1,1,1
02090,14454,1,1,1,1
02093,14454,1,1,1,1
02108,14454,1,1,1,1
02109,14454,1,1,1,1
02110,14454,1,1,1,1
02111,14454,1,1,1,1
02112,14454,1,1,1,1
02113,14454,1,1,1,1
02114,14454,1,1,1,1
02115,14454,1,1,1,1
02116,14454,1,1,1,1
02117,14454,1,1,1,1
02118,14454,1,1,1,1
02119,14454,1,1,1,1
02120,14454,1,1,1,1
02121,14454,1,1,1,1
02122,14454,1,1,1,1
02123,14454,1,1,1,1
02124,14454,1,1,1,1
02125,14454,1,1,1,1
02126,14454,1,1,1,1
02127,14454,1,1,1,1
02128,14454,1,1,1,1
02129,14454,1,1,1,1
02130,14454,1,1,1,1
02131,14454,1,1,1,1
02132,14454,1,1,1,1
02133,14454,0,1,1,1
02134,14454,1,1,1,1
02135,14454,1,1,1,1
02136,14454,1,1,1,1
02137,14454,1,1,1,1
02138,15764,1,1,1,1
02139,15764,1,1,1,1
02140,15764,1,1,1,1
02141,15764,1,1,1,1
02142,15764,1,1,1,1
02143,15764,1,1,1,1
02144,15764,1,1,1,1
02145,15764,1,1,1,1
02148,14454,0.000157468,0.000607533,0,0.000178152
02148,15764,0.999842532,0.999392467,1,0.999821848
02149,15764,1,1,1,1
02150,14454,0.999413791,0.960579244,1,0.99640877
02150,15764,0.000586209,0.039420756,0,0.00359123
02151,14454,0.991586764,0.995741056,0.997814208,0.992039375
02151,15764,0.008413236,0.004258944,0.002185792,0.007960625
02152,14454,1,1,1,1
02155,15764,1,1,1,1
02163,14454,1,1,1,1
02169,14454,1,1,1,1
02170,14454,1,1,1,1
02171,14454,1,1,1,1
02176,15764,1,1,1,1
02180,15764,1,1,1,1
02184,14454,1,1,1,1
02185,14454,1,1,1,1
02186,14454,1,1,1,1
02188,14454,1,1,1,1
02189,14454,1,1,1,1
02190,14454,1,1,1,1
02191,14454,1,1,1,1
02196,14454,1,1,1,1
02199,14454,1,1,1,1
02201,14454,0,0,1,1
02203,14454,1,1,1,1
02205,14454,1,1,1,1
02210,14454,1,1,1,1
02215,14454,1,1,1,1
02217,14454,0,0,1,1
02222,14454,0,1,1,1
02238,15764,1,1,1,1
02269,14454,1,1,1,1
02301,14454,1,1,1,1
02302,14454,1,1,1,1
02303,14454,1,1,1,1
02304,14454,1,1,1,1
02305,14454,1,1,1,1
02322,14454,1,1,1,1
02324,14454,0.997318436,1,1,0.997568143
02324,39300,0.002681564,0,0,0.002431857
02325,14454,0,1,0,1
02327,14454,1,1,1,1
02330,14454,1,1,1,1
02331,14454,1,1,1,1
02332,14454,1,1,1,1
02333,14454,1,1,1,1
02334,39300,1,1,1,1
02337,14454,0,0,1,1
02338,14454,1,1,1,1
02339,14454,1,1,1,1
02340,14454,0,0,1,1
02341,14454,1,1,1,1
02343,14454,1,1,1,1
02344,14454,0,0,1,1
02345,14454,1,1,1,1
02346,14454,1,1,1,1
02347,14454,0.998160074,1,1,0.998313659
02347,39300,0.001839926,0,0,0.001686341
02348,14454,0,1,0,1
02349,14454,0,0,1,1
02350,14454,1,0,1,1
02351,14454,1,1,1,1
