,0,1
0,collectionsExcludingMedical,0
1,DTI,17.05
2,amountDelinquent,$0.00
3,creditDateShort,5/9/15
4,nowDelinquent,0
5,currentJobTitle,n/a
6,loggedIn,true
7,loanDetailAjResult,success
8,questionsAsked,[]
9,revolvingLineUtilization,84.10%
10,earliestCreditLine,08/2007
11,showCurrentCompany,False
12,homeOwnership,RENT
13,completeTenure,6 years
14,totalCreditLines,17
15,inquiriesLast6Months,1
16,grossIncome,"$4,852 / month"
17,monthsSinceLastDelinquency,n/a
18,openCreditLines,13
19,location,"100xx, NY"
20,questionsAndAnswers,[]
21,relisted,False
22,lateLast2yrs,0
23,revolvingCreditBalance,"$19,928.00"
24,username,Member_49762560
25,monthsSinceLastMajorDerogatory,n/a
26,verifiedIncome,false
27,description,
28,reviewStatus,SUBMITTED
29,purpose,Credit card refinancing
30,ficoScore,665-669
31,publicRecordsOnFile,0
32,currentCompany,TAXI
33,monthlyPayment,$710.50 
34,submissionDate,5/9/15 7:59 AM
35,loanLength,60
36,monthsSinceLastRecord,n/a
37,hasCosigner,False
