,0,1
0,loan_id,46614712
1,alreadyInvestedIn,False
2,loanType,Personal
3,isInCurrentOrder,False
4,loanAmtRemaining,8225
5,loanTimeRemaining,1194729709
6,alreadySelected,False
7,loanRate,24.50
8,primeFractions,0
9,primeUnfundedAmount,0
10,title,Credit card refinancing
11,loanGUID,46614712
12,amountToInvest,0
13,loanAmt,24450
14,loanRateDiff,.00
15,noFee,0
16,searchrank,-1
17,loanAmountRequested,24450
18,loanUnfundedAmount,8225
19,wholeLoanTimeRemaining,-7615291
20,loanGrade,F3
21,purpose,credit_card
22,isWholeLoan,0
23,primeTotalInvestment,0
24,loanLength,60
25,loan_status,INFUNDING
26,primeMarkedInvestment,0
27,fico,665-669
28,hasCosigner,False
