tttl	count	mean
marketing manager   	171	0.0
cfo                 	132	0.0
product manager     	145	0.0
nurse practitioner  	227	0.004405286343612335
accounting manager  	219	0.0045662100456621
regional manager    	185	0.005405405405405406
senior accountant   	174	0.005747126436781609
buyer               	172	0.005813953488372093
assistant principal 	170	0.0058823529411764705
custodian           	169	0.005917159763313609
partner             	168	0.005952380952380952
assistant professor 	161	0.006211180124223602
principal           	312	0.00641025641025641
senior software engineer	146	0.00684931506849315
hr manager          	140	0.007142857142857143
pharmacy technician 	138	0.007246376811594203
territory manager   	128	0.0078125
production manager  	243	0.00823045267489712
firefighter         	235	0.00851063829787234
professor           	322	0.009316770186335404
it manager          	321	0.009345794392523364
team leader         	204	0.00980392156862745
pastor              	181	0.011049723756906077
financial analyst   	262	0.011450381679389313
pilot               	156	0.01282051282051282
accounting          	152	0.013157894736842105
associate           	297	0.013468013468013467
consultant          	369	0.013550135501355014
engineer            	951	0.013669821240799159
bus operator        	142	0.014084507042253521
president           	707	0.014144271570014143
controller          	419	0.014319809069212411
service technician  	139	0.014388489208633094
assistant store manager	136	0.014705882352941176
production supervisor	136	0.014705882352941176
social worker       	268	0.014925373134328358
physician           	267	0.0149812734082397
software developer  	195	0.015384615384615385
regional sales manager	130	0.015384615384615385
senior vice president	127	0.015748031496062992
assembler           	126	0.015873015873015872
correctional officer	250	0.016
administrator       	373	0.0160857908847185
senior manager      	186	0.016129032258064516
director of operations	304	0.01644736842105263
deputy sheriff      	181	0.016574585635359115
chef                	180	0.016666666666666666
owner               	1485	0.016835016835016835
vice president      	769	0.016905071521456438
financial advisor   	234	0.017094017094017096
software engineer   	456	0.017543859649122806
attorney            	682	0.017595307917888565
pharmacist          	281	0.017793594306049824
teacher             	4954	0.017965280581348407
captain             	164	0.018292682926829267
senior consultant   	163	0.018404907975460124
account executive   	379	0.018469656992084433
legal secretary     	213	0.018779342723004695
sales manager       	743	0.018842530282637954
physical therapist  	212	0.018867924528301886
executive assistant 	527	0.018975332068311195
accountant          	684	0.019005847953216373
personal banker     	199	0.020100502512562814
cook                	199	0.020100502512562814
police officer      	845	0.020118343195266272
business manager    	198	0.020202020202020204
paralegal           	442	0.020361990950226245
case manager        	196	0.02040816326530612
customer service rep	141	0.02127659574468085
flight attendant    	186	0.021505376344086023
branch manager      	459	0.02178649237472767
project manager     	1372	0.021865889212827987
systems analyst     	136	0.022058823529411766
operator            	362	0.022099447513812154
recruiter           	135	0.022222222222222223
analyst             	493	0.02231237322515213
business analyst    	357	0.022408963585434174
production          	132	0.022727272727272728
administrative assistant	697	0.02295552367288379
agent               	173	0.023121387283236993
program manager     	384	0.0234375
assistant manager   	597	0.023450586264656615
registered nurse    	2425	0.023505154639175258
dental hygienist    	170	0.023529411764705882
general manager     	1221	0.02375102375102375
lpn                 	294	0.023809523809523808
cna                 	251	0.02390438247011952
medical assistant   	250	0.024
operations manager  	777	0.02445302445302445
office manager      	1344	0.024553571428571428
physician assistant 	162	0.024691358024691357
staff accountant    	157	0.025477707006369428
management          	196	0.025510204081632654
network engineer    	195	0.02564102564102564
bus driver          	192	0.026041666666666668
sales rep           	230	0.02608695652173913
area manager        	153	0.026143790849673203
property manager    	189	0.026455026455026454
bookkeeper          	225	0.02666666666666667
bartender           	220	0.02727272727272727
it specialist       	183	0.0273224043715847
warehouse           	145	0.027586206896551724
electrician         	430	0.027906976744186046
account manager     	609	0.027914614121510674
store manager       	780	0.028205128205128206
ceo                 	248	0.028225806451612902
finance manager     	177	0.02824858757062147
driver              	1698	0.028268551236749116
inspector           	141	0.028368794326241134
warehouse manager   	208	0.028846153846153848
auditor             	172	0.029069767441860465
foreman             	410	0.02926829268292683
respiratory therapist	238	0.029411764705882353
counselor           	170	0.029411764705882353
district manager    	303	0.0297029702970297
sales associate     	269	0.02973977695167286
