tttl	count	mean
Principal           	568	0.00528169014084507
Product             	344	0.005813953488372093
Professor           	331	0.00906344410876133
Claims              	327	0.009174311926605505
Engineer            	858	0.009324009324009324
President           	656	0.012195121951219513
Accounts            	321	0.012461059190031152
Systems             	625	0.0128
Certified           	303	0.013201320132013201
Controller          	378	0.013227513227513227
Consultant          	368	0.01358695652173913
Owner               	1011	0.013847675568743818
Accounting          	648	0.013888888888888888
Team                	429	0.013986013986013986
Corporate           	277	0.01444043321299639
Engineering         	344	0.014534883720930232
Information         	275	0.014545454545454545
Senior              	5149	0.014760147601476014
Computer            	405	0.014814814814814815
Branch              	537	0.0148975791433892
owner               	529	0.015122873345935728
Accountant          	660	0.015151515151515152
Assistant           	2287	0.01530389156099694
production          	257	0.01556420233463035
Electrician         	316	0.015822784810126583
maintenance         	312	0.016025641025641024
IT                  	1599	0.016260162601626018
Associate           	1152	0.016493055555555556
Operations          	1257	0.016706443914081145
Administrator       	354	0.01694915254237288
Field               	649	0.01694915254237288
Sr                  	934	0.017130620985010708
Secretary           	291	0.01718213058419244
Director,           	406	0.017241379310344827
Lead                	1092	0.0173992673992674
Deputy              	515	0.017475728155339806
HR                  	512	0.017578125
Teacher             	4201	0.017614853606284217
VP                  	735	0.017687074829931974
Regional            	837	0.017921146953405017
Payroll             	277	0.018050541516245487
Personal            	277	0.018050541516245487
Clinical            	554	0.018050541516245487
Police              	926	0.0183585313174946
Managing            	272	0.01838235294117647
Correctional        	271	0.01845018450184502
Nurse               	919	0.018498367791077257
Network             	591	0.018612521150592216
Physician           	423	0.018912529550827423
Sr.                 	1882	0.019128586609989374
Project             	1973	0.01926001013684744
Director            	3648	0.019462719298245616
Physical            	305	0.019672131147540985
LPN                 	252	0.01984126984126984
Production          	755	0.019867549668874173
Vice                	1256	0.019904458598726114
Administrative      	1155	0.019913419913419914
Client              	343	0.02040816326530612
Flight              	242	0.02066115702479339
Head                	289	0.020761245674740483
Bus                 	240	0.020833333333333332
District            	525	0.02095238095238095
Attorney            	665	0.021052631578947368
Human               	522	0.0210727969348659
Retail              	234	0.021367521367521368
Case                	278	0.02158273381294964
Registered          	2294	0.021795989537925022
Purchasing          	229	0.021834061135371178
Account             	1208	0.022350993377483443
Foreman             	267	0.02247191011235955
Software            	934	0.022483940042826552
