OOS Cutoff = 2015-01-01
Int Range: [0,7]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
  -27.17  -13.05  -14.01   22.88   20.43    6.42     526
  -13.05  -10.41  -12.44   18.01   18.86    6.43     525
  -10.41   -8.51   -7.03   15.92   13.51    6.48     526
   -8.51   -7.13   -4.97   14.32   11.49    6.52     525
   -7.13   -5.94   -3.90   13.03   10.42    6.52     525
   -5.94   -4.97   -0.78   12.03    7.37    6.59     526
   -4.97   -3.98   -1.88   11.08    8.45    6.57     525
   -3.98   -3.03   -1.04   10.11    7.63    6.59     526
   -3.03   -1.71    1.26    9.05    5.42    6.68     525
   -1.71    2.78    1.46    7.36    5.26    6.72     525
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0
    0.00    0.00     nan     nan     nan     nan       0

Int Range: [7,10]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
  -25.29   -9.22  -13.16   20.69   21.57    8.41    1155
   -9.22   -6.75   -8.20   16.28   16.64    8.44    1155
   -6.75   -5.27   -6.78   14.46   15.27    8.49    1155
   -5.27   -4.17   -2.91   13.16   11.39    8.48    1154
   -4.17   -3.25   -3.27   12.23   11.79    8.52    1155
   -3.25   -2.39   -1.51   11.33   10.03    8.52    1155
   -2.39   -1.52    0.04   10.50    8.50    8.54    1154
   -1.52   -0.58    1.29    9.67    7.33    8.61    1155
   -0.58    0.65    2.02    8.70    6.67    8.69    1155
    0.65    5.88    3.22    7.11    5.78    9.00    1154
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
