tttl	count	mean
Architect           	449	0.004454342984409799
Designer            	612	0.006535947712418301
Pastor              	291	0.006872852233676976
Professor           	625	0.008
Scientist           	249	0.008032128514056224
Principal           	574	0.008710801393728223
Physician           	316	0.00949367088607595
Controller          	626	0.009584664536741214
Electrician         	403	0.01240694789081886
II                  	988	0.013157894736842105
Partner             	293	0.013651877133105802
President           	1757	0.013659647125782584
Counselor           	506	0.01383399209486166
Worker              	499	0.014028056112224449
III                 	485	0.01443298969072165
Therapist           	675	0.014814814814814815
Auditor             	398	0.01507537688442211
Owner               	988	0.015182186234817813
Administrator       	1809	0.015478164731896076
Engineer            	4704	0.015518707482993197
owner               	510	0.01568627450980392
Inspector           	376	0.015957446808510637
Secretary           	620	0.016129032258064516
clerk               	643	0.017107309486780714
Analyst             	4725	0.017354497354497355
Accountant          	1259	0.017474185861795076
Teacher             	4686	0.017498932991890738
Operations          	912	0.017543859649122806
Instructor          	393	0.017811704834605598
Trainer             	278	0.017985611510791366
Leader              	552	0.018115942028985508
rep                 	331	0.01812688821752266
Specialist          	4381	0.01963022141063684
Investigator        	254	0.01968503937007874
Attorney            	914	0.019693654266958426
Manager             	23019	0.01994004952430601
Developer           	749	0.020026702269692925
Underwriter         	298	0.020134228187919462
Programmer          	248	0.020161290322580645
LPN                 	246	0.02032520325203252
Paralegal           	478	0.02092050209205021
Coordinator         	2481	0.020959290608625555
Technologist        	424	0.02122641509433962
nurse               	1099	0.02183803457688808
Pharmacist          	272	0.022058823529411766
director            	361	0.0221606648199446
Superintendent      	448	0.022321428571428572
coordinator         	444	0.02252252252252252
Associate           	1373	0.022578295702840496
Assistant           	3451	0.022602144305998263
Lead                	694	0.023054755043227664
Consultant          	1824	0.023574561403508772
associate           	379	0.023746701846965697
Director            	3844	0.023933402705515087
Executive           	750	0.024
Technician          	2622	0.02402745995423341
Nurse               	2581	0.024409143742735374
Officer             	3121	0.024671579621916052
engineer            	648	0.024691358024691357
Admin               	283	0.024734982332155476
Clerk               	958	0.025052192066805846
Supervisor          	3917	0.025274444728108247
Operator            	1252	0.025559105431309903
analyst             	445	0.02696629213483146
Support             	406	0.027093596059113302
CEO                 	290	0.027586206896551724
Driver              	1916	0.027661795407098122
assistant           	857	0.028004667444574097
Representative      	964	0.028008298755186723
Resources           	389	0.028277634961439587
mechanic            	563	0.028419182948490232
Tech                	1368	0.02850877192982456
Rep                 	630	0.02857142857142857
Agent               	829	0.028950542822677925
teacher             	1027	0.029211295034079845
Foreman             	442	0.029411764705882353
RN                  	1835	0.029427792915531336
Planner             	299	0.030100334448160536
Mechanic            	641	0.031201248049921998
operator            	1314	0.03120243531202435
officer             	961	0.031217481789802288
consultant          	256	0.03125
specialist          	701	0.03138373751783167
manager             	5480	0.031386861313868614
driver              	1970	0.03147208121827411
Server              	348	0.031609195402298854
Mgr                 	315	0.031746031746031744
Carrier             	343	0.03206997084548105
Advisor             	642	0.03271028037383177
worker              	424	0.0330188679245283
Sales               	2018	0.033201189296333006
supervisor          	1411	0.03401842664776754
Church              	374	0.034759358288770054
foreman             	284	0.035211267605633804
Banker              	419	0.03579952267303103
sales               	807	0.03593556381660471
MANAGER             	1050	0.03619047619047619
tech                	1292	0.03637770897832817
IT                  	273	0.03663003663003663
therapist           	303	0.039603960396039604
2                   	378	0.03968253968253968
Marketing           	476	0.03991596638655462
carrier             	346	0.04046242774566474
Sergeant            	416	0.040865384615384616
technician          	1036	0.041505791505791506
Development         	519	0.04431599229287091
Finance             	286	0.045454545454545456
Chef                	284	0.045774647887323945
Engineering         	361	0.04709141274238227
Maintenance         	328	0.04878048780487805
Administration      	500	0.054
Clinic              	248	0.056451612903225805
Technology          	407	0.056511056511056514
LLP                 	926	0.05723542116630669
University          	1483	0.057316250842886045
Co                  	468	0.057692307692307696
Management          	1053	0.057929724596391265
ISD                 	483	0.057971014492753624
Education           	684	0.059941520467836254
Agency              	280	0.060714285714285714
Security            	579	0.06217616580310881
California          	384	0.0625
Defense             	317	0.06309148264984227
Department          	655	0.06412213740458016
Transportation      	361	0.0664819944598338
USA                 	481	0.06652806652806653
System              	581	0.06884681583476764
Government          	362	0.06906077348066299
Partners            	243	0.06995884773662552
district            	257	0.07003891050583658
Communications      	510	0.07058823529411765
Schools             	1572	0.07061068702290077
nan                 	23347	0.07157236475778472
Inc.                	5981	0.07172713593044641
Corp.               	487	0.07186858316221766
Office              	639	0.07198748043818466
Guard               	291	0.07216494845360824
Airlines            	344	0.07267441860465117
District            	1935	0.07286821705426356
Financial           	339	0.07374631268436578
Services            	2790	0.07419354838709677
Corporation         	1936	0.07489669421487603
USAF                	318	0.07547169811320754
Co.                 	593	0.07588532883642496
LLC                 	2617	0.07604126862820022
Technologies        	578	0.07612456747404844
Associates          	696	0.07614942528735633
Bank                	2027	0.07646768623581648
Company             	2056	0.07684824902723736
Energy              	350	0.07714285714285714
Health              	784	0.0778061224489796
Permanente          	334	0.07784431137724551
Corp                	959	0.07820646506777894
College             	842	0.07838479809976247
Center              	3041	0.0785925682341335
County              	769	0.07932379713914174
Construction        	325	0.08
Solutions           	833	0.08043217286914765
Inc                 	4924	0.08082859463850528
Affairs             	309	0.08090614886731391
Insurance           	679	0.08100147275405008
Systems             	1066	0.08161350844277673
Group               	1947	0.08166409861325115
Club                	292	0.0821917808219178
Electric            	372	0.08333333333333333
Express             	262	0.08396946564885496
Institute           	249	0.08433734939759036
Chase               	434	0.08525345622119816
Healthcare          	569	0.08611599297012303
Army                	1136	0.08626760563380281
Products            	277	0.08664259927797834
service             	678	0.08702064896755163
School              	863	0.0880648899188876
group               	280	0.08928571428571429
Care                	569	0.08963093145869948
AT&T                	377	0.09018567639257294
Hospital            	2487	0.09047044632086852
America             	1110	0.09099099099099099
Union               	337	0.09198813056379822
UPS                 	281	0.09252669039145907
INC.                	300	0.09333333333333334
Foods               	265	0.09433962264150944
Service             	1699	0.09476162448499117
USPS                	305	0.09508196721311475
Depot               	302	0.09602649006622517
Fargo               	251	0.099601593625498
Industries          	351	0.09971509971509972
bank                	348	0.10057471264367816
INC                 	673	0.10104011887072809
Force               	508	0.10236220472440945
Navy                	372	0.10752688172043011
International       	659	0.10925644916540213
inc.                	465	0.10967741935483871
inc                 	1046	0.11089866156787763
services            	535	0.11588785046728972
center              	820	0.12073170731707317
hospital            	752	0.12234042553191489
Walmart             	286	0.13286713286713286
Casino              	329	0.1398176291793313
company             	309	0.14563106796116504
